"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
57,16.4659,18.6267,5.71124,3.67797,227.996,206.301,166.522
58,15.2043,18.1187,5.81177,3.34085,205.16,183.812,146.575
59,15.9713,19.304,6.17481,3.30243,211.443,186.832,151.142
60,16.1792,18.9653,6.26517,3.2988,225.629,204.817,168.5
61,17.3835,18.9653,6.26647,3.53865,213.982,189.605,152.405
62,17.1326,18.9653,6.45884,3.38444,221.783,198.474,159.596
63,16.9534,20.32,6.39805,3.38389,205.371,180.479,141.821
64,21.1469,22.352,6.68512,4.03644,218.257,190.435,152.317
65,16.2867,20.2353,6.35593,3.27042,224.864,208.949,172.37
66,14.9462,19.304,6.27948,3.03983,213.046,193.176,157.088
67,19.8423,22.352,7.08462,3.57148,222.045,199.149,160.864
68,19.0824,19.7273,6.56837,3.70748,218.525,195.912,159.04
69,16.215,19.1347,6.41163,3.22709,210.978,191.996,155.771
70,16.4086,18.9653,6.44173,3.25207,218.353,196.592,158.81
71,17.9426,19.9813,6.92997,3.31156,210.638,188.374,153.036
72,18.2652,19.812,6.80581,3.42398,224.692,201.297,161.78
73,16.9319,19.1347,6.11364,3.53431,220.385,199.211,163.864
74,15.3046,19.812,6.33396,3.08237,221.268,193.91,149.452
75,17.1684,19.4733,6.27327,3.49104,223.614,200.039,162.505
76,18.0358,20.4047,6.46603,3.55927,225.101,202.739,165.929
77,16.3225,19.304,6.57047,3.17024,226.052,199.717,157.401
78,17.8136,19.8967,6.68785,3.40028,213.438,189.774,151.055
79,13.6917,18.9653,5.94968,2.94264,224.48,199.515,158.221
80,16.2365,18.7113,5.9653,3.47231,208.457,180.338,141.336
81,15.6846,18.4573,6.15806,3.25329,209.294,184.179,147.583
82,16.2724,20.7433,6.61317,3.14076,223.696,198.112,156.934
83,18.6666,20.4893,6.57636,3.6194,209.117,190.646,153.854
84,16.8243,19.4733,6.45398,3.3243,222.955,198.992,158.465
85,17.1326,20.32,6.34654,3.44568,209.259,189.533,155.374
86,12.1935,16.5947,5.63123,2.76628,199.08,172.649,131.736
87,19.0752,21.59,7.41736,3.28469,219.287,188.184,143.963
88,15.3261,19.812,6.33441,3.08647,233.709,208.918,168.258
89,15.8566,19.304,6.21902,3.25584,212.803,191.456,151.655
90,15.9856,19.1347,6.05895,3.3648,214.541,181.608,138.474
91,17.663,19.812,6.83461,3.30144,206.646,182.672,145.282
92,14.7096,18.6267,6.19502,3.03712,240.231,216.729,180.274
93,18.8243,21.6747,7.12354,3.37045,222.963,203.199,166.493
94,19.2688,20.6587,6.30301,3.91208,196.88,170.999,134.202
95,15.2401,19.4733,6.17937,3.14636,203.666,183.147,146.514
96,13.7849,18.542,6.1423,2.86326,217.21,192.794,156.868
97,12.681,18.1187,6.15606,2.65434,230.677,205.114,165.456
98,17.4982,19.4733,6.47952,3.44661,206.549,184.741,145.539
99,17.7204,20.066,6.66872,3.3966,209.591,184.043,145.572
100,14.6236,18.9653,6.07664,3.07341,220.32,196.998,160.997
101,18.6881,20.32,6.25211,3.82708,199.656,173.533,138.139
102,19.491,21.1667,6.39669,3.88796,225.447,202.644,165.931
103,16.8889,19.6427,6.35967,3.39119,219.932,194.104,151.505
104,14.8387,18.288,5.9344,3.19476,205.158,183.716,145.933
105,14.9534,18.288,6.36849,2.99642,235.884,213.604,169.304
106,19.2616,21.4207,6.82269,3.60746,221.518,192.415,150.164
107,15.4695,19.7273,6.24817,3.16053,226.597,204.308,164.474
108,17.8136,19.3887,6.42671,3.53623,209.49,181.792,144.016
109,18.0143,21.336,6.73376,3.41411,223.228,198.581,156.312
110,16.9534,20.4893,5.99351,3.61736,208.789,186.623,150.472
111,15.3691,20.2353,6.34381,3.08855,231.39,213.111,176.362
112,16.1792,22.098,6.10155,3.45119,226.299,205.22,165.759
113,17.0896,19.6427,6.4631,3.37334,225.095,204.914,168.338
114,18.4157,21.5053,6.73701,3.49282,220.179,192.51,155.264
115,16.5949,19.8967,6.23691,3.40426,225.35,202.143,161.009
116,17.8064,19.304,6.02093,3.77716,217.292,194.061,157.51
117,21.8279,21.1667,6.76325,4.11817,194.257,171.634,139.177
118,17.1613,19.7273,6.46917,3.38761,210.264,183.437,144.044
