"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
112,16.043,19.812,6.28601,3.254,213.875,188.741,148.306
113,10.3727,16.764,5.64748,2.34258,213.97,186.981,145.729
114,13.6989,19.812,6.69285,2.61682,214.681,191.331,152.227
115,13.5412,20.9973,5.94761,2.92536,210.532,188.56,155.731
116,16.8172,20.828,6.5372,3.28789,212.908,190.006,154.958
117,17.319,19.9813,6.59091,3.35326,212.305,193.24,159.805
118,13.7491,18.796,6.06531,2.88999,229.698,209.334,169.427
119,17.6559,20.7433,6.54554,3.43839,207.296,183.686,147.36
120,10.5735,16.9333,5.45254,2.47528,205.681,176.271,135.532
121,7.42651,16.0867,6.29652,1.51674,226.524,217.502,198.368
122,16.7311,19.6427,6.12257,3.48373,214.846,188.358,149.014
123,17.5053,19.6427,6.76723,3.29808,223.705,203.852,166.031
124,14.6595,18.2033,6.28328,2.97859,203.138,183.429,151.288
125,17.6917,20.828,6.57467,3.43184,235.664,218.703,186.789
126,14.2222,17.9493,5.67977,3.19584,225.725,200.621,163.926
127,17.62,22.5213,6.2594,3.62912,204.379,181.465,143.774
128,17.7132,20.9973,6.90763,3.27218,203.926,183.222,149.753
129,12.7025,18.9653,6.27514,2.59114,207.385,178.336,136.823
130,16.215,19.9813,6.62411,3.12233,214.042,193.471,155.961
131,15.6989,19.304,6.21618,3.21998,215.849,191.894,154.797
132,17.7132,19.6427,6.58585,3.43355,214.906,190.024,151.462
133,14.3584,20.574,6.55088,2.81147,218.593,198.583,162.589
134,13.4122,17.78,5.71536,2.99698,221.695,197.724,160.775
135,22.6666,23.0293,7.1788,4.0304,210.409,191.868,158.926
136,18.6666,21.336,6.78905,3.50423,221.112,191.996,149.291
137,17.0251,20.066,6.60352,3.28882,202.101,181.025,147.57
138,16.638,20.1507,6.52808,3.25046,215.179,189.382,151.194
139,15.8853,18.542,6.07813,3.33301,218.062,192.463,155.591
140,18.4874,20.1507,6.60708,3.56845,205.552,181.889,143.941
141,13.5053,17.1873,5.61724,3.06945,217.706,196.584,162.12
142,15.2616,18.4573,5.7885,3.36369,228.15,210.005,176.129
143,17.9928,20.828,6.58206,3.4868,212.532,189.724,154.044
144,14.0788,19.9813,6.48009,2.77828,217.304,193.924,158.002
145,19.8638,21.6747,6.90787,3.6656,209.335,185.51,147.687
146,16.5806,19.9813,6.28746,3.36149,223.749,202.511,165.943
147,14.0143,17.6107,5.44507,3.28172,227.706,211.204,176.015
148,16.4659,20.1507,6.4634,3.25244,226.562,201.59,164.401
149,15.7347,19.812,6.64402,3.02003,209.889,185.002,148.7
150,17.1971,19.7273,6.45341,3.40311,222.52,200.024,163.983
151,17.4193,21.1667,6.63597,3.34722,223.9,201.738,165.884
152,13.5053,17.78,5.81548,2.96276,204.423,179.547,143.421
153,17.1756,19.6427,6.43932,3.40145,210.756,193.253,160.393
154,14.8745,19.4733,6.02986,3.15827,222.491,204.436,169.596
155,16.0215,19.304,6.29283,3.26063,203.526,175.43,138.654
156,12.5591,16.0867,5.30972,3.03141,215.017,191.522,154.269
157,12.3011,16.8487,5.80155,2.70594,216.618,194.335,158.403
158,14.7383,19.812,6.25448,3.00884,220.335,194.039,152.711
159,18.2007,21.082,6.66774,3.48138,212.148,185.719,145.287
160,18.6595,20.828,6.77745,3.51202,222.209,198.14,159.253
161,8.7455,14.1393,4.39918,2.56152,233.445,209.154,168.168
162,4.46594,11.176,3.19715,1.9671,183.705,160.604,129.305
163,14.6953,19.6427,6.39483,2.92905,223.035,199.328,161.824
164,18.3584,21.1667,6.65484,3.52235,232.689,212.599,176.061
165,15.7562,19.1347,5.89221,3.42453,222.564,198.472,156.763
166,16.7598,19.812,6.5737,3.25259,214.053,186.029,144.241
167,15.577,19.4733,6.24098,3.18378,211.018,189.237,152.753
168,18.2795,21.082,6.43447,3.62215,214.392,189.226,152.731
169,15.6846,19.7273,6.41969,3.11892,219.887,202.197,167.034
170,16.6595,20.6587,6.53974,3.24912,222.654,205.682,172.769
171,14.086,17.8647,6.1876,2.90167,224.384,200.636,159.144
172,13.2688,18.796,5.45728,3.11696,206.152,182.767,149.52
173,16,20.2353,6.66056,3.06322,207.228,181.241,144.303
174,12.9821,17.1027,5.3254,3.10971,226.451,208.119,173.026
175,16.3727,19.7273,5.66507,3.714,198.279,174.859,140.578
176,16.0788,20.4893,6.71892,3.05443,216.579,188.221,146.469
177,18.5519,20.828,6.89273,3.43132,219.007,193.075,152.937
178,16.7311,21.1667,6.8396,3.12398,220.427,198.277,163.142
179,15.5125,18.7113,6.20911,3.18909,206.012,183.994,148.674
180,18.2795,20.32,6.10396,3.82183,213.251,191.377,156.248
181,10.7025,17.1027,6.0426,2.27924,234.595,213.745,179.472
182,15.3978,20.828,6.54356,3.00553,210.718,193.352,160.638
183,13.7204,19.1347,6.00125,2.92125,207.261,185.509,151.424
184,10.7097,16.8487,5.45806,2.50498,219.559,200.693,167.647
185,17.1182,20.6587,6.59524,3.30811,210.501,187.382,150.82
186,14.7383,17.4413,5.89298,3.19085,214.805,188.364,149.566
187,12.0932,17.272,5.64986,2.73451,195.899,172.966,139.391
188,17.6272,19.812,6.79724,3.31026,214.192,192.574,156.138
189,14.6165,18.288,6.1856,3.01323,226.273,202.159,161.251
190,6.20787,12.954,4.51519,1.76026,231.359,206.904,173.375
191,19.663,22.0133,7.0339,3.56489,225.384,202.569,165.109
192,13.0107,19.558,5.68688,2.94496,217.524,198.75,166.497
193,15.6129,19.304,6.40676,3.11411,188.388,160.602,125.552
194,11.7993,16.5947,6.10611,2.46861,220.077,193.339,156.423
195,16.9964,19.8967,6.23741,3.4856,214.807,196.791,162.257
196,11.9641,17.526,5.70069,2.685,207.854,182.403,143.256
197,16.7383,18.9653,6.06398,3.52536,226.341,204.775,168.834
198,18.4086,21.1667,6.65978,3.52469,204.991,183.184,147.347
199,11.5125,16.764,5.89826,2.49027,222.705,199.172,161.35
200,11.62,16.0867,5.47536,2.70653,234.299,214.503,177.849
