"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
236,12.2437,16.0867,5.31195,2.93957,230.476,207.811,169.048
237,18.7885,21.4207,6.54362,3.66159,220.872,193.628,152.648
238,14.3369,17.6107,5.29313,3.459,221.164,195.919,156.064
239,17.6487,20.066,6.5191,3.45322,209.182,188.039,150.311
240,16.4587,18.288,5.64137,3.72577,211.962,182.227,139.431
241,9.45518,14.1393,4.48715,2.68888,214.96,188.001,149.357
242,14.8172,18.034,5.11276,3.70198,221.565,200.806,166.519
243,17.0967,20.4893,6.40875,3.40145,218.578,190.002,147.088
244,12.9677,17.78,5.54337,2.98769,214.098,183.984,141.142
245,14.8674,18.288,5.92529,3.19935,219.894,199.709,163.439
246,14.2724,17.9493,5.98359,3.04779,223.245,194.652,153.852
247,18.2294,20.4047,6.20408,3.74543,204.048,177.672,139.736
248,15.0609,18.288,5.87785,3.26688,218.609,193.733,158.228
249,15.9856,18.1187,5.98432,3.40922,212.356,187.21,149.409
250,1.96415,10.0753,2.52866,1.2343,157.435,145.174,130.13
