"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
34,16.939,18.796,6.41658,3.36866,212.759,188.062,151.955
35,16.9319,19.4733,6.44804,3.34957,205.328,176.685,138.91
36,16.4516,19.4733,6.36701,3.29768,226.042,202.806,163.629
37,18.1648,20.9973,6.71374,3.45206,207.684,188.626,155.171
38,15.8709,19.812,6.27618,3.22676,228.704,201.372,162.257
39,15.4122,18.542,6.29834,3.12237,224.25,198.369,159.758
40,16.767,19.6427,6.57295,3.25126,199.209,171.003,133.895
41,17.3835,19.4733,6.41977,3.45212,214.255,193.911,161.695
42,18.2509,21.5053,6.80843,3.41843,211.347,191.962,157.286
43,17.9426,19.9813,6.26904,3.65642,199.323,175.14,136.755
44,17.0681,20.4893,6.41056,3.40027,224.58,207.435,174.885
45,16.7383,20.4047,6.56799,3.25158,222.085,203.444,168.229
46,16.1433,20.2353,6.64342,3.09928,227.315,204.885,168.548
47,15.2329,18.034,6.12142,3.1725,224.732,198.608,158.233
48,14.6165,19.1347,6.13605,3.0376,228.67,202.868,164.086
49,16.2509,19.9813,6.36184,3.25898,224.27,207.213,174.817
50,17.8423,19.6427,6.67118,3.41056,225.247,202.271,165.702
51,15.1541,19.4733,5.99603,3.2254,236.513,212.855,174.29
52,15.0896,18.9653,6.31764,3.04693,217.436,192.291,156.545
53,14.0358,17.8647,6.30953,2.8389,230.266,206.257,165.754
54,16.8817,19.4733,6.62291,3.25087,208.799,180.257,142.992
55,16.6523,19.1347,6.4242,3.30913,202.29,173.444,133.919
56,16.6523,19.9813,6.23213,3.40866,225.645,209.823,180.537
57,16.0573,19.4733,6.4249,3.18595,219.295,191.874,150.85
58,13.6129,18.6267,6.12135,2.83665,212.226,184.147,143.042
59,14.8243,18.1187,5.74233,3.29228,209.704,188.174,154.15
60,17.8638,20.6587,6.65831,3.4282,222.219,198.032,160.323
61,17.5985,22.352,7.05547,3.19195,224.538,196.491,152.418
62,17.448,20.4893,6.71647,3.3121,221.286,195.49,156.58
63,14.8889,18.288,6.37729,2.9783,213.002,185.008,146.223
64,17.5053,19.812,6.66599,3.34844,227.087,203.321,165.74
65,14.1362,18.1187,5.75204,3.13668,229.6,209.443,177.256
66,14.3799,18.542,5.96877,3.07438,210.067,187.239,151.443
67,14.2867,19.304,6.22624,2.92778,230.168,204.164,163.107
68,15.6487,18.4573,6.40693,3.11533,221.028,192.965,152.666
69,18.7383,22.4367,7.03034,3.40512,207.735,179.896,143.88
70,18.5949,21.6747,6.97915,3.40352,221.328,196.421,155.445
71,15.7061,18.6267,5.80902,3.45306,194.216,170.367,134.551
72,18.0286,20.32,6.50928,3.53194,213.512,188.617,152.825
73,11.4623,17.4413,5.73471,2.55165,225.726,197.348,152.485
74,14.6953,18.9653,6.06222,3.09517,220.914,199.013,163.14
75,14.3584,19.05,6.21188,2.94878,227.304,210.334,177.062
76,17.1326,19.812,6.58341,3.31849,218.936,194.302,157.825
77,17.7347,19.6427,5.95243,3.80386,221.339,196.474,160.155
78,17.8423,20.828,6.72474,3.38224,216.297,192.997,157.997
79,13.7419,18.288,5.96947,2.93758,231.883,211.419,176.713
80,17.2616,20.6587,6.47084,3.40091,219.852,193.923,158.212
81,17.362,20.1507,6.61279,3.3463,227.786,201.545,161.613
82,17.0681,19.6427,6.55279,3.32548,218.14,193.127,155.133
83,15.4695,18.796,6.32821,3.11743,221.779,197.733,160.911
84,13.4767,18.4573,5.87312,2.9268,224.259,206.781,175.195
85,15.6559,18.796,6.60708,3.02285,224.512,199.272,158.056
86,14.9462,18.4573,6.22561,3.06661,210.724,186.977,148.834
87,15.5555,19.3887,5.91092,3.35729,231.304,209.088,174.377
88,14.6021,17.4413,5.75945,3.23517,222,200.029,163.101
89,15.6415,20.066,6.46508,3.09143,218.184,192.035,155.681
90,15.9641,19.304,5.98922,3.40094,215.877,193.552,159.071
91,16.7311,18.8807,5.99468,3.55811,213.793,190.838,153.378
92,17.2616,20.32,6.71783,3.27778,211.771,187.894,149.017
93,14.1147,20.4893,6.28637,2.87393,220.946,200.949,165.617
94,17.8423,20.6587,6.59424,3.44868,236.461,216.38,181.091
95,16.301,18.288,6.07835,3.42537,232.878,216.271,188.441
96,18.4802,20.4893,6.44796,3.65305,226.311,202.155,165.945
97,8.6093,14.732,4.88734,2.251,231.539,209.844,173.625
98,16.724,19.05,6.44211,3.30897,208.415,180.3,143.267
99,12.724,16.764,5.68742,2.85399,228.468,210.761,178.022
100,15.5627,20.4047,5.91044,3.37327,214.065,190.473,157.15
101,18.6308,20.828,6.80789,3.49235,228.027,208.018,175.132
102,13.3261,16.9333,5.84241,2.9108,212.163,187.718,150.682
103,16.1792,19.558,6.62972,3.11091,228.335,206.151,168.393
104,14.8745,19.304,6.121,3.09806,219.475,191.259,147.861
105,15.6057,19.812,6.27652,3.16993,213.614,186.851,148.245
106,15.1899,18.7113,6.39582,3.03882,213.479,185.798,147.581
107,17.6057,20.1507,6.71883,3.3415,221.114,200.959,166.521
108,14.5806,18.9653,5.94804,3.12791,239.299,218.058,178.001
109,13.5914,18.9653,5.9035,2.93892,224.872,209.267,178.791
110,14.2795,19.1347,6.15815,2.95647,223.954,200.485,164.321
111,13.3333,17.272,6.02062,2.82726,207.872,182.469,141.21
112,15.0179,19.1347,6.17972,3.09848,207.985,178.727,136.363
113,14.1075,17.78,6.06215,2.96647,222.929,194.323,150.701
114,16.3942,19.1347,6.45418,3.23902,220.551,195.296,158.904
115,15.5842,17.9493,6.09846,3.26265,234.802,213.128,175.243
116,15.4122,19.1347,5.95438,3.3008,217.921,192.659,153.442
117,16.681,20.4893,6.76555,3.14598,220.025,192.417,150.92
118,13.7778,17.9493,5.6558,3.10749,224.766,204.783,166.823
119,19.3906,21.1667,6.94903,3.5646,222.419,199.978,164.826
120,14.6953,19.304,6.15775,3.04493,208.628,186.363,150.327
121,16.1218,21.336,6.32475,3.27136,215.952,190.401,154.016
122,14.6165,18.1187,6.1438,3.03351,218.9,197.922,162.02
123,14.8387,18.6267,6.55317,2.88791,211.52,188.97,150.851
124,15.9139,20.1507,6.50635,3.11885,220.795,193.235,154.759
125,18.8745,20.6587,6.80387,3.53604,204.62,177.656,137.267
126,15.5197,19.304,6.1956,3.19777,213.325,190.205,154.719
127,15.6487,19.812,6.22014,3.20858,234.601,214.556,178.374
128,14.4731,18.4573,6.1511,3.00833,224.369,198.424,160.494
129,16.4444,19.4733,6.41537,3.26974,228.929,204.427,165.403
130,17.1254,19.6427,6.73611,3.24118,218.531,189.67,148.181
131,18.2795,20.9973,6.94179,3.35876,222.906,196.617,154.916
132,15.4695,19.812,6.49452,3.04403,216.93,188.387,147.09
133,16.81,20.1507,6.45889,3.31839,222.197,199.061,160.422
134,15.9068,19.812,6.13615,3.30953,219.805,195.995,160.131
135,16.6308,20.1507,6.12063,3.464,221.65,196.945,161.371
136,18.043,21.6747,6.68999,3.44688,217.501,192.125,154.045
137,18.7598,20.4893,7.04882,3.393,223.441,199.397,158.974
138,19.4408,20.4893,6.75718,3.67162,232.899,216.24,185.656
139,14.5591,18.4573,6.02023,3.08652,217.987,196.135,159.045
140,14.9964,18.7113,6.47542,2.95237,234.443,211.457,171.93
141,19.4982,21.7593,7.08104,3.50975,218.85,191.88,150.212
142,15.0824,17.9493,5.86453,3.28144,229.891,209.085,178.064
